gtin,name,brand,qty,uom,country,source,url,price,currency,category_raw,family,subfamily
5609876543239,"AGUA MINERAL 1,5L",LUSO,1.5,L,PT,OFF,https://openfoodfacts.org/product/5609876543210,,EUR,"BEBIDAS, AGUAS",,
5601234567920,ARROZ AGULHA 1KG,BOM SUCESSO,1,KG,PT,OFF,https://openfoodfacts.org/product/5601234567890,,EUR,"CEREAIS E DERIVADOS, ARROZ",,
5609876543241,"AGUA MINERAL 1,5L",LUSO,1.5,L,PT,OFF,https://openfoodfacts.org/product/5609876543210,,EUR,"BEBIDAS, AGUAS",,
5601234567922,ARROZ AGULHA 1KG,BOM SUCESSO,1,KG,PT,OFF,https://openfoodfacts.org/product/5601234567890,,EUR,"CEREAIS E DERIVADOS, ARROZ",,
5609876543243,"AGUA MINERAL 1,5L",LUSO,1.5,L,PT,OFF,https://openfoodfacts.org/product/5609876543210,,EUR,"BEBIDAS, AGUAS",,
5601234567924,ARROZ AGULHA 1KG,BOM SUCESSO,1,KG,PT,OFF,https://openfoodfacts.org/product/5601234567890,,EUR,"CEREAIS E DERIVADOS, ARROZ",,
5609876543245,"AGUA MINERAL 1,5L",LUSO,1.5,L,PT,OFF,https://openfoodfacts.org/product/5609876543210,,EUR,"BEBIDAS, AGUAS",,
5601234567926,ARROZ AGULHA 1KG,BOM SUCESSO,1,KG,PT,OFF,https://openfoodfacts.org/product/5601234567890,,EUR,"CEREAIS E DERIVADOS, ARROZ",,
5609876543247,"AGUA MINERAL 1,5L",LUSO,1.5,L,PT,OFF,https://openfoodfacts.org/product/5609876543210,,EUR,"BEBIDAS, AGUAS",,
5601234567928,ARROZ AGULHA 1KG,BOM SUCESSO,1,KG,PT,OFF,https://openfoodfacts.org/product/5601234567890,,EUR,"CEREAIS E DERIVADOS, ARROZ",,
5609876543249,"AGUA MINERAL 1,5L",LUSO,1.5,L,PT,OFF,https://openfoodfacts.org/product/5609876543210,,EUR,"BEBIDAS, AGUAS",,
